date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:52	728260/728260	---M--	200	added ('OK')	application/pdf	etag:%22b1cc4-5c4f442dc7b16%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928303_10.Organizaciyaibezopasnostydvigheniya(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928303_10.Organizaciyaibezopasnostydvigheniya(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:53	555075/555075	---M--	200	added ('OK')	application/pdf	etag:%2287843-5c4f446ac5380%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928370_8.Menedghmentcifrovyhtransportnyhsistem(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928370_8.Menedghmentcifrovyhtransportnyhsistem(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:53	707128/707128	---M--	200	added ('OK')	application/pdf	etag:%22aca38-5c4f443cafdae%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928305_9.Transportnoeplanirovanie(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928305_9.Transportnoeplanirovanie(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:55	666565/666565	---M--	200	added ('OK')	application/pdf	etag:%22a2bc5-5c4f448011db0%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928393_9.Upravlenieprogrammamiiproektami(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928393_9.Upravlenieprogrammamiiproektami(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:56	518303/518303	---M--	200	added ('OK')	application/pdf	etag:%227e89f-5c4f448e130f9%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928427_7.Resursoeffektivnayalogistikaproizvodstva(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928427_7.Resursoeffektivnayalogistikaproizvodstva(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:08:56	549545/549545	---M--	200	added ('OK')	application/pdf	etag:%22862a9-5c4f44991cbe9%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928425_6.Logistikavtransportnyhsistemah(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928425_6.Logistikavtransportnyhsistemah(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:01	628583/628583	---M--	200	added ('OK')	application/pdf	etag:%2299767-5c4f44b75ddca%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928479_6.Upravleniechelovecheskimiresursami(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928479_6.Upravleniechelovecheskimiresursami(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:01	547793/547793	---M--	200	added ('OK')	application/pdf	etag:%2285bd1-5c4f44dac2e5b%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928451_8.Upravleniepersonalomorganizacii(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928451_8.Upravleniepersonalomorganizacii(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:02	686364/686364	---M--	200	added ('OK')	application/pdf	etag:%22a791c-5c4f45eb2790b%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928736_Ekonomikafirmyiotraslevyhrynkov(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928736_Ekonomikafirmyiotraslevyhrynkov(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:03	582274/582274	---M--	200	added ('OK')	application/pdf	etag:%228e282-5c4f462230ebd%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928790_%c2%abEkonomikakompleksnogorazvitiyaterritoriyiaglomeraciy%c2%bb(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928790_%c2%abEkonomikakompleksnogorazvitiyaterritoriyiaglomeraciy%c2%bb(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:07	778222/778222	---M--	200	added ('OK')	application/pdf	etag:%22bdfee-5c4f462d0c37d%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928843_%c2%abUpravleniefinansovoydeyatelynostyyuorganizacii%c2%bb(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928843_%c2%abUpravleniefinansovoydeyatelynostyyuorganizacii%c2%bb(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:07	662925/662925	---M--	200	added ('OK')	application/pdf	etag:%22a1d8d-5c4f463fef6c6%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928903_7.Elektrooborudovanieavtomobileyielektromobili(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928903_7.Elektrooborudovanieavtomobileyielektromobili(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:08	939719/939719	---M--	200	added ('OK')	application/pdf	etag:%22e56c7-5c4f465e3ef1f%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928931_5.Inghenernayazaschitaokrughayuscheysredyvdoroghno-transportnomkomplekse(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928931_5.Inghenernayazaschitaokrughayuscheysredyvdoroghno-transportnomkomplekse(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:08	1049013/1049013	---M--	200	added ('OK')	application/pdf	etag:%221001b5-5c4f464c9304e%22	https://pk.madi.ru/uploads/files/2021/06/17/1623928906_4.Dvigatelivnutrennegosgoraniya(m).pdf	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/uploads/files/2021/06/17/1623928906_4.Dvigatelivnutrennegosgoraniya(m).pdf	(from https://pk.madi.ru/4488-op-magistratura.html)
17:09:12	34246/34246	---MC-	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2014:09:07%20GMT	https://pk.madi.ru/4483-informaciya-o-podgotovitelnyh-kursah.html	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/4483-informaciya-o-podgotovitelnyh-kursah.html	(from https://pk.madi.ru/4453-podgotovitelnye-kursy.html)
